City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1029,Santiago,CL,80.04,clear sky,-33.4569,-70.6483,Hotel Panamericano
1038,Palmerston,AU,80.92,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
1040,Sitio Novo Do Tocantins,BR,80.53,scattered clouds,-5.5183,-47.4611,Imperial Hotel
1043,Mahibadhoo,MV,81.77,overcast clouds,3.7833,72.9667,Omadhoo Inn
1047,Lagdo,CM,80.94,few clouds,9.05,13.7333,
1051,Taoudenni,ML,87.28,few clouds,22.6783,-3.9836,
1069,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
1071,Bondoukou,CI,82.89,clear sky,8.0333,-2.8,Prestige Hotel
1072,Anloga,GH,82.47,scattered clouds,5.7947,0.8973,Pin Drop Hotel
1073,Kudahuvadhoo,MV,80.92,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
1074,Galveston,US,81.05,overcast clouds,29.3669,-94.9669,Crystal Suites
1081,Petatlan,MX,85.73,broken clouds,17.5167,-101.2667,Hotel California Petatlán
1094,Monywa,MM,82.76,overcast clouds,22.1167,95.1333,Monywa Hotel
1104,Gogrial,SS,81.16,overcast clouds,8.5332,28.1004,
1108,Kloulklubed,PW,82.96,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
1123,Kailua,US,80.49,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
1124,Sherman,US,84.16,few clouds,33.6357,-96.6089,La Quinta Inn & Suites by Wyndham Sherman
1131,Wajir,KE,81.34,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
1139,Coahuayana,MX,85.64,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
1156,Dhidhdhoo,MV,82.2,few clouds,6.8833,73.1,Dhidhoo beach
1164,Harper,LR,80.19,overcast clouds,4.375,-7.7169,Screensaver
1167,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
1170,Ternate,ID,81.36,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
1173,Puerto Ayacucho,VE,80.19,light rain,5.6639,-67.6236,Posada Turistica Manapiare
1197,Bang Len,TH,87.98,overcast clouds,14.0219,100.1718,OYO 402 Raknatee Resort
1202,Kidal,ML,81.93,few clouds,18.4411,1.4078,
1206,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
1243,Isangel,VU,82.62,broken clouds,-19.55,169.2667,Tanna Lodge
1245,Progreso,MX,83.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
1263,Empalme,MX,88.36,overcast clouds,27.9667,-110.8167,casa alejandro lopez
1276,Lodwar,KE,85.62,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
1277,Lucea,JM,82.26,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
1278,Riberalta,BO,80.8,broken clouds,-10.9833,-66.1,Hotel Colonial
1279,San Policarpo,PH,80.55,overcast clouds,12.1791,125.5072,Agapita M. Nicart
1286,Corrales,US,81.82,broken clouds,35.2378,-106.6067,Quality Inn
1293,Kouroussa,GN,84.56,light rain,10.65,-9.8833,Hotel Paillote
1295,Lazaro Cardenas,MX,82.98,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
1300,Kaya,BF,86.99,broken clouds,13.0917,-1.0844,Maison de l'appelé
1331,Porterville,US,82.58,broken clouds,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
1334,Tombouctou,ML,86.09,scattered clouds,20.0,-3.0,
1342,Los Algarrobos,PA,86.72,overcast clouds,8.5,-82.4333,Waterfall Hostel
1347,Luba,GQ,82.11,overcast clouds,3.4568,8.5547,
1353,Robertsport,LR,80.44,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
1357,Tema,GH,82.98,broken clouds,5.667,-0.0166,Beulah Royale Hotel Tema
1361,Tha Mai,TH,84.07,scattered clouds,12.6214,102.0048,Khowbuysi View Resort
1364,Diapaga,BF,86.9,clear sky,12.0708,1.7889,
1374,Salitral,PE,83.19,overcast clouds,-4.8572,-80.6811,Alpamayo
1378,Haapiti,PF,83.93,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
1381,La Orilla,MX,83.14,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
1403,Orange Cove,US,82.67,broken clouds,36.6244,-119.3137,
1414,Pundaguitan,PH,80.67,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
1435,Kilindoni,TZ,82.96,light rain,-7.9139,39.6668,Bustani B&B
1436,Bikaner,IN,80.69,clear sky,28.0167,73.3,The Laxmi Niwas Palace
1444,Gizo,SB,82.85,light rain,-8.103,156.8419,Imagination Island
1456,Santa Rosa,PH,84.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
1470,Alugan,PH,80.17,overcast clouds,12.2188,125.4808,JM Lodge
1490,Makaha,US,80.98,light intensity drizzle,21.4694,-158.2175,Hawaiian Princess Resort
1493,Ocos,GT,82.96,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
1495,Davila,PH,80.91,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
1506,Faranah,GN,81.99,light rain,10.0404,-10.7434,Chez mon oncle
1515,Bairiki,KI,80.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
1528,Yaan,NG,86.0,clear sky,7.3833,8.5667,
1530,Matamoros,MX,88.93,broken clouds,25.5333,-103.25,Quinta Belem
1546,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
1553,Abomey,BJ,80.47,scattered clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
1558,Mandiana,GN,86.85,light rain,10.6333,-8.6833,Motels rouzo
1559,Juazeiro,BR,83.3,light rain,-9.4117,-40.4986,JB Hotel
1577,Honiara,SB,83.39,light rain,-9.4333,159.95,Heritage Park Hotel
