City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
161,Troitskoye,52.9821,84.6757,30.34,99,100,3.51,snow,RU,2022-03-27 22:52:59
162,Bredasdorp,-34.5322,20.0403,65.1,75,36,3.53,scattered clouds,ZA,2022-03-27 22:52:59
163,Castro,-24.7911,-50.0119,64.36,79,5,0.45,clear sky,BR,2022-03-27 22:53:00
164,Medvezhyegorsk,62.9167,34.4667,-0.69,98,24,2.37,few clouds,RU,2022-03-27 22:53:00
165,Bluff,-46.6,168.3333,58.53,75,10,1.95,clear sky,NZ,2022-03-27 22:53:01
166,Ciucea,46.95,22.8167,39.45,39,5,3.22,clear sky,RO,2022-03-27 22:53:01
167,Chokurdakh,70.6333,147.9167,-7.58,97,85,5.28,overcast clouds,RU,2022-03-27 22:53:02
168,Mokrousovo,55.8103,66.7653,17.89,90,82,12.15,broken clouds,RU,2022-03-27 22:53:02
169,General Roca,-39.0333,-67.5833,70.63,23,0,11.32,clear sky,AR,2022-03-27 22:53:02
170,Nanortalik,60.1432,-45.2371,29.03,81,72,6.49,broken clouds,GL,2022-03-27 22:53:03
171,Inhambupe,-11.7844,-38.3531,75.0,89,54,8.75,broken clouds,BR,2022-03-27 22:53:03
172,Katsuura,35.1333,140.3,55.09,81,82,11.3,broken clouds,JP,2022-03-27 22:52:47
173,Samarai,-10.6167,150.6667,83.16,73,98,1.39,overcast clouds,PG,2022-03-27 22:51:09
174,Ribeira Grande,38.5167,-28.7,60.15,85,100,16.98,overcast clouds,PT,2022-03-27 22:53:04
175,Ponta Do Sol,32.6667,-17.1,64.06,78,23,4.45,few clouds,PT,2022-03-27 22:53:04
176,Chimoio,-19.1164,33.4833,66.72,99,100,4.52,light rain,MZ,2022-03-27 22:53:04
177,Hamilton,39.1834,-84.5333,40.98,48,0,14.97,clear sky,US,2022-03-27 22:51:52
178,Mumford,5.2618,-0.759,81.28,87,76,8.79,broken clouds,GH,2022-03-27 22:53:05
179,Moranbah,-22.0016,148.0466,75.58,66,0,7.07,clear sky,AU,2022-03-27 22:53:05
180,Barcelos,41.5388,-8.6151,58.84,75,94,4.05,overcast clouds,PT,2022-03-27 22:53:06
181,Grand Gaube,-20.0064,57.6608,77.4,84,1,1.99,clear sky,MU,2022-03-27 22:53:06
182,Iqaluit,63.7506,-68.5145,17.33,100,100,2.3,mist,CA,2022-03-27 22:53:06
183,Grand Bank,47.0999,-55.765,38.98,98,100,10.8,overcast clouds,CA,2022-03-27 22:53:07
184,Dzilam Gonzalez,21.2833,-88.9333,80.08,48,0,14.16,clear sky,MX,2022-03-27 22:53:07
185,Springbok,-29.6643,17.8865,67.33,27,0,2.48,clear sky,ZA,2022-03-27 22:53:07
186,Tiksi,71.6872,128.8694,-2.99,95,100,4.32,overcast clouds,RU,2022-03-27 22:53:08
